,Real_Labels,KMeans_Labels,Mini_Batch_KMeans,Hierarchical_Labels,Birch_Labels,GMM_Labels
155,0,4,4,1,1,4
156,0,1,2,1,1,1
157,4,3,3,3,3,3
158,1,3,4,4,4,3
159,4,3,4,3,3,3
160,2,0,4,1,1,0
161,1,3,4,4,4,3
162,4,3,3,3,3,3
163,3,2,4,0,0,2
164,0,4,4,1,1,4
165,2,0,4,2,2,0
166,4,3,3,3,3,3
167,3,2,4,0,0,2
168,2,0,4,2,2,0
169,3,2,4,0,0,2
170,1,3,4,1,1,3
171,4,3,3,3,3,3
172,3,2,4,0,0,2
173,4,3,3,3,3,3
174,0,1,2,1,1,1
175,0,4,4,1,1,4
176,4,3,4,3,3,3
177,2,0,4,2,2,0
178,0,1,2,1,1,1
179,3,2,4,0,0,2
180,3,2,4,0,0,2
181,1,3,4,4,4,3
182,3,2,4,0,0,2
183,0,1,2,1,1,1
184,0,3,4,1,1,3
185,3,2,0,0,0,2
186,0,4,4,1,1,4
187,4,3,3,3,3,3
188,2,0,4,2,2,0
189,4,3,3,3,3,3
190,4,3,3,3,3,3
191,1,3,4,4,4,3
192,3,2,4,0,0,2
193,2,0,4,2,2,0
194,3,2,4,0,0,2
195,1,3,4,4,4,3
196,2,0,4,2,2,0
197,3,2,0,0,0,2
198,3,2,0,0,0,2
199,3,2,0,0,0,2
200,3,2,4,0,0,2
201,4,3,3,3,3,3
202,3,2,4,0,0,2
203,0,4,2,1,1,4
204,1,3,4,4,4,3
205,0,1,2,1,1,1
206,2,0,4,2,2,0
207,3,2,0,0,0,2
208,1,3,4,4,4,3
209,0,4,2,1,1,4
210,0,1,2,1,1,1
211,3,2,4,0,0,2
212,4,3,3,3,3,3
213,4,2,4,3,3,2
214,2,0,4,2,2,0
215,2,0,4,2,2,0
216,3,2,4,0,0,2
217,2,0,4,2,2,0
218,2,0,4,2,2,0
219,3,2,0,0,0,2
220,4,3,3,3,3,3
221,4,3,4,3,3,3
222,3,2,4,0,0,2
223,4,3,3,3,3,3
224,4,3,3,3,3,3
225,3,2,4,0,0,2
226,3,2,0,0,0,2
227,0,4,2,1,1,4
228,1,3,4,4,4,3
229,4,3,3,3,3,3
230,2,0,4,2,2,0
231,0,1,2,1,1,1
232,3,2,0,0,0,2
233,0,4,4,1,1,4
234,4,3,3,3,3,3
235,0,4,4,1,1,4
236,1,3,4,4,4,3
237,3,2,4,0,0,2
238,3,2,0,0,0,2
239,3,2,0,0,0,2
240,3,2,4,0,0,2
241,3,2,4,0,0,2
242,0,3,4,4,4,3
243,3,2,4,0,0,2
244,4,3,4,3,3,3
245,0,1,2,1,1,1
246,2,0,4,2,2,0
247,3,2,0,0,0,2
248,0,4,2,1,1,4
249,2,1,2,4,4,1
250,0,4,2,1,1,4
251,4,3,3,3,3,3
252,3,2,4,0,0,2
253,3,2,4,0,0,2
254,0,1,2,1,1,1
255,1,3,4,4,4,3
256,0,4,2,1,1,4
257,1,3,4,4,4,3
258,2,0,4,2,2,0
259,1,3,4,4,4,3
260,1,3,4,4,4,3
261,0,4,2,1,1,4
262,2,0,4,2,2,0
263,3,2,4,0,0,2
264,4,0,4,2,2,0
265,4,3,3,3,3,3
266,0,1,2,1,1,1
267,4,3,3,3,3,3
268,1,3,4,4,4,3
269,4,3,3,3,3,3
270,4,3,3,3,3,3
271,2,0,4,2,2,0
272,1,3,4,4,4,3
273,3,2,4,0,0,2
274,3,2,4,0,0,2
275,2,0,4,1,1,0
276,3,2,4,0,0,2
277,1,3,4,4,4,3
278,0,4,2,1,1,4
279,1,3,4,4,4,3
280,0,4,2,1,1,4
281,1,3,4,4,4,3
282,4,3,3,3,3,3
283,3,2,4,0,0,2
284,3,2,0,0,0,2
285,3,2,4,0,0,2
286,2,0,4,2,2,0
287,2,0,4,2,2,0
288,3,2,0,0,0,2
289,3,2,4,0,0,2
290,4,3,3,3,3,3
291,0,1,2,1,1,1
292,1,3,4,4,4,3
293,3,2,4,0,0,2
294,2,0,4,2,2,0
295,1,3,4,4,4,3
296,2,0,4,2,2,0
297,2,0,4,2,2,0
298,1,3,4,4,4,3
299,1,3,4,4,4,3
300,0,1,2,1,1,1
301,1,3,4,4,4,3
302,0,4,2,1,1,4
303,3,2,4,0,0,2
304,4,3,3,3,3,3
305,0,1,2,1,1,1
306,3,2,4,0,0,2
307,2,0,4,1,1,0
308,4,3,3,3,3,3
309,1,3,4,4,4,3
310,2,0,2,1,1,0
311,0,3,4,4,4,3
312,4,3,3,3,3,3
313,0,4,2,1,1,4
314,1,3,4,4,4,3
315,3,2,4,0,0,2
316,1,3,4,1,1,3
317,3,2,4,0,0,2
318,3,2,0,0,0,2
319,3,2,4,0,0,2
320,2,0,2,2,2,0
321,0,4,4,1,1,4
322,2,0,4,2,2,0
323,4,3,3,3,3,3
324,3,2,4,0,0,2
325,4,3,4,3,3,3
326,0,4,2,1,1,4
327,2,0,4,2,2,0
328,0,4,4,1,1,4
329,3,2,0,0,0,2
330,4,3,4,3,3,3
331,3,2,4,0,0,2
332,0,1,2,1,1,1
333,4,3,3,3,3,3
334,4,3,3,3,3,3
335,3,2,0,0,0,2
336,2,0,4,1,1,0
337,0,1,2,1,1,1
338,2,0,2,1,1,0
339,1,3,4,1,1,3
340,4,3,3,3,3,3
341,4,3,3,3,3,3
342,4,3,3,3,3,3
343,1,3,4,4,4,3
344,3,2,0,0,0,2
345,0,1,2,1,1,1
346,4,3,0,0,0,3
347,4,3,4,3,3,3
348,4,3,3,3,3,3
349,2,0,4,2,2,0
350,3,2,4,0,0,2
351,2,0,4,2,2,0
352,2,0,4,2,2,0
353,1,3,4,4,4,3
354,2,0,4,2,2,0
355,0,4,4,1,1,4
356,2,4,4,1,1,4
357,0,1,2,1,1,1
358,3,2,0,0,0,2
359,4,3,3,3,3,3
360,0,1,2,1,1,1
361,0,4,2,1,1,4
362,0,4,4,1,1,4
363,3,2,4,0,0,2
364,3,2,4,0,0,2
365,2,0,4,2,2,0
366,2,0,4,2,2,0
367,3,2,0,0,0,2
368,1,3,4,1,1,3
369,1,3,3,3,3,3
370,3,2,4,0,0,2
371,1,3,4,4,4,3
372,4,3,3,3,3,3
373,2,0,4,2,2,0
374,1,3,4,1,1,3
375,2,0,4,2,2,0
376,4,3,3,3,3,3
377,3,2,0,0,0,2
378,0,4,2,1,1,4
379,1,3,4,4,4,3
380,3,2,4,0,0,2
381,0,4,4,1,1,4
382,2,0,4,2,2,0
383,4,2,3,3,3,2
384,2,0,4,2,2,0
385,3,2,4,0,0,2
386,1,3,4,4,4,3
387,3,2,0,0,0,2
388,0,4,2,1,1,4
389,3,2,4,0,0,2
390,1,3,4,4,4,3
391,0,1,4,1,1,1
392,2,0,4,2,2,0
393,0,4,2,1,1,4
394,3,2,4,0,0,2
395,3,2,0,0,0,2
396,1,3,4,1,1,3
397,1,3,4,4,4,3
398,0,4,2,1,1,4
399,0,4,4,1,1,4
400,2,0,4,2,2,0
401,2,0,4,2,2,0
402,0,1,2,1,1,1
403,4,3,3,3,3,3
404,0,0,4,1,1,0
405,4,3,3,3,3,3
406,3,2,0,0,0,2
407,3,2,4,0,0,2
408,4,3,3,3,3,3
409,4,3,3,3,3,3
410,0,4,4,1,1,4
411,2,0,4,2,2,0
412,0,4,2,1,1,4
413,4,3,3,3,3,3
414,3,2,0,0,0,2
415,1,3,4,1,1,3
416,4,3,3,3,3,3
417,1,3,4,2,2,3
418,4,3,3,3,3,3
419,0,4,4,1,1,4
420,1,2,4,4,4,2
421,4,3,4,3,3,3
422,0,1,2,1,1,1
423,0,1,2,1,1,1
424,0,4,2,1,1,4
425,0,4,4,1,1,4
426,4,3,3,3,3,3
427,1,3,4,4,4,3
428,1,3,4,4,4,3
429,1,3,4,4,4,3
430,4,3,4,3,3,3
431,1,3,4,4,4,3
432,3,2,4,0,0,2
433,4,3,3,3,3,3
434,2,0,4,2,2,0
435,1,3,4,4,4,3
436,0,4,4,1,1,4
437,3,2,0,0,0,2
438,4,3,4,2,2,3
439,3,2,4,0,0,2
440,1,3,4,3,3,3
441,1,3,4,4,4,3
442,0,1,2,1,1,1
443,1,3,4,4,4,3
444,3,2,0,0,0,2
445,3,2,4,0,0,2
446,3,2,0,0,0,2
447,4,3,3,3,3,3
448,4,3,3,3,3,3
449,0,1,2,1,1,1
450,4,3,3,3,3,3
451,1,3,4,4,4,3
452,1,3,4,4,4,3
453,3,2,4,0,0,2
454,4,3,3,3,3,3
455,1,3,4,4,4,3
456,0,1,2,1,1,1
457,2,0,4,2,2,0
458,4,3,3,3,3,3
459,1,3,3,4,4,3
460,2,0,4,2,2,0
461,3,2,4,0,0,2
462,3,2,4,0,0,2
463,2,0,4,2,2,0
464,2,0,4,2,2,0
465,0,1,2,1,1,1
466,3,2,4,0,0,2
467,3,2,0,0,0,2
468,0,1,2,1,1,1
469,4,3,3,3,3,3
470,4,3,3,3,3,3
471,2,0,4,2,2,0
472,0,4,2,1,1,4
473,0,4,2,1,1,4
474,0,1,2,1,1,1
475,0,1,2,1,1,1
476,3,2,0,0,0,2
477,0,3,2,1,1,3
478,0,4,4,1,1,4
479,2,0,4,2,2,0
480,2,0,4,2,2,0
481,1,3,4,4,4,3
482,4,3,3,3,3,3
483,2,0,4,2,2,0
484,0,4,4,2,2,4
485,1,3,4,4,4,3
486,0,4,2,1,1,4
487,0,4,4,0,0,4
488,3,2,4,0,0,2
489,1,3,4,4,4,3
490,1,3,4,4,4,3
491,3,2,0,0,0,2
492,4,3,4,3,3,3
493,1,3,4,4,4,3
494,1,3,4,4,4,3
495,1,3,4,4,4,3
496,2,0,4,2,2,0
497,1,3,4,4,4,3
498,1,3,3,4,4,3
499,1,3,4,1,1,3
500,0,4,2,1,1,4
501,0,1,2,1,1,1
502,0,4,2,1,1,4
503,1,3,4,4,4,3
504,3,2,0,0,0,2
505,0,0,2,1,1,0
506,2,0,4,2,2,0
507,2,0,4,2,2,0
508,4,3,3,3,3,3
509,1,3,4,4,4,3
510,2,0,4,2,2,0
511,4,3,3,3,3,3
512,4,3,3,3,3,3
513,0,1,2,1,1,1
514,2,0,4,2,2,0
515,3,2,4,0,0,2
516,3,2,0,0,0,2
517,3,2,0,0,0,2
518,3,2,4,0,0,2
519,2,0,4,2,2,0
520,4,3,3,3,3,3
521,0,1,2,1,1,1
522,0,4,4,1,1,4
523,2,0,4,2,2,0
524,3,2,0,0,0,2
525,4,3,4,3,3,3
526,4,3,4,3,3,3
527,3,2,0,0,0,2
528,0,4,4,1,1,4
529,2,0,4,2,2,0
530,4,3,3,3,3,3
531,0,4,4,1,1,4
532,3,2,0,0,0,2
533,1,3,4,4,4,3
534,3,2,0,0,0,2
535,3,2,4,0,0,2
536,0,4,4,1,1,4
537,1,3,4,4,4,3
538,2,0,4,2,2,0
539,0,4,4,0,0,4
540,1,3,3,4,4,3
541,2,0,4,2,2,0
542,2,0,4,2,2,0
543,2,0,4,2,2,0
544,3,2,4,0,0,2
545,0,1,2,1,1,1
546,3,2,0,0,0,2
547,4,3,3,3,3,3
548,2,0,4,2,2,0
549,1,3,4,3,3,3
550,1,3,4,4,4,3
551,0,1,2,1,1,1
552,1,3,4,4,4,3
553,0,4,2,1,1,4
554,4,3,3,3,3,3
555,4,3,3,3,3,3
556,2,0,4,1,1,0
557,0,4,4,1,1,4
558,2,0,4,2,2,0
559,0,1,2,1,1,1
560,4,3,3,3,3,3
561,4,3,4,3,3,3
562,0,4,4,1,1,4
563,2,0,4,2,2,0
564,0,4,2,1,1,4
565,1,3,4,4,4,3
566,0,4,2,1,1,4
567,0,4,4,1,1,4
568,1,3,4,4,4,3
569,2,0,4,0,0,0
570,0,1,2,1,1,1
571,1,3,4,1,1,3
572,0,0,4,2,2,0
573,2,0,4,2,2,0
574,4,3,3,3,3,3
575,3,2,0,0,0,2
576,4,3,3,3,3,3
577,3,2,4,0,0,2
578,4,3,3,3,3,3
579,3,2,0,0,0,2
580,0,1,2,1,1,1
581,1,3,4,4,4,3
582,1,3,4,1,1,3
583,3,2,0,0,0,2
584,3,2,4,0,0,2
585,0,4,2,1,1,4
586,2,0,4,2,2,0
587,1,3,4,4,4,3
588,1,3,4,4,4,3
589,1,3,4,4,4,3
590,0,4,2,1,1,4
591,3,2,4,0,0,2
592,0,4,2,1,1,4
593,0,4,4,1,1,4
594,0,4,4,1,1,4
595,0,4,2,1,1,4
596,0,1,2,1,1,1
597,4,3,3,3,3,3
598,1,3,4,4,4,3
599,3,2,4,0,0,2
600,3,2,4,0,0,2
601,2,0,2,2,2,0
602,1,3,4,4,4,3
603,1,3,4,4,4,3
604,0,4,2,1,1,4
605,1,3,4,4,4,3
606,0,4,4,1,1,4
607,2,0,4,2,2,0
608,4,3,3,3,3,3
609,1,3,4,4,4,3
610,0,1,2,1,1,1
611,0,1,2,1,1,1
612,2,0,4,2,2,0
613,1,3,4,4,4,3
614,4,3,3,3,3,3
615,0,4,4,1,1,4
616,1,3,4,3,3,3
617,4,3,3,3,3,3
618,4,3,4,3,3,3
619,3,2,0,0,0,2
620,2,0,4,2,2,0
621,3,2,4,0,0,2
622,0,4,2,1,1,4
623,4,3,3,3,3,3
624,4,4,4,3,3,4
625,0,1,2,1,1,1
626,2,0,4,2,2,0
627,0,4,2,1,1,4
628,1,3,4,4,4,3
629,1,3,4,4,4,3
630,0,1,2,1,1,1
631,4,3,3,3,3,3
632,1,3,4,4,4,3
633,1,3,4,4,4,3
634,3,2,0,0,0,2
635,3,2,4,0,0,2
636,4,3,3,3,3,3
637,3,2,0,0,0,2
638,4,3,3,3,3,3
639,2,0,4,2,2,0
640,4,3,3,3,3,3
641,1,4,4,1,1,4
642,4,3,3,3,3,3
643,2,0,4,4,4,0
644,2,0,4,2,2,0
645,0,4,4,1,1,4
646,0,4,4,1,1,4
647,1,3,4,4,4,3
648,3,2,4,0,0,2
649,3,2,4,0,0,2
650,0,4,2,1,1,4
651,1,4,4,4,4,4
652,2,0,4,2,2,0
653,2,0,4,2,2,0
654,0,1,2,1,1,1
655,4,3,4,0,0,3
656,3,2,4,0,0,2
657,3,2,4,0,0,2
658,2,0,4,2,2,0
659,1,3,4,4,4,3
660,3,2,0,0,0,2
661,3,2,0,0,0,2
662,0,1,2,1,1,1
663,2,0,4,2,2,0
664,0,4,4,2,2,4
665,4,3,4,3,3,3
666,1,3,4,4,4,3
667,2,3,4,1,1,3
668,3,2,0,0,0,2
669,3,2,4,0,0,2
670,1,3,4,1,1,3
671,2,0,4,2,2,0
672,0,4,2,1,1,4
673,3,2,4,0,0,2
674,2,0,4,2,2,0
675,2,0,4,2,2,0
676,3,2,4,0,0,2
677,0,4,2,1,1,4
678,1,3,4,3,3,3
679,2,0,4,2,2,0
680,0,4,4,1,1,4
681,1,3,4,4,4,3
682,4,3,3,3,3,3
683,0,4,4,1,1,4
684,1,3,4,4,4,3
685,2,0,4,2,2,0
686,1,3,4,4,4,3
687,2,0,4,2,2,0
688,4,3,3,3,3,3
689,3,2,4,0,0,2
690,3,2,4,0,0,2
691,0,4,2,2,2,4
692,0,4,2,1,1,4
693,1,3,4,3,3,3
694,3,2,4,0,0,2
695,4,3,3,3,3,3
696,4,3,3,3,3,3
697,1,3,4,4,4,3
698,2,0,4,2,2,0
699,4,2,4,3,3,2
700,0,4,2,1,1,4
701,4,3,3,3,3,3
702,1,3,4,4,4,3
703,0,4,4,1,1,4
704,3,2,4,0,0,2
705,0,4,2,1,1,4
706,0,1,2,1,1,1
707,0,4,4,1,1,4
708,3,2,4,0,0,2
709,3,2,0,0,0,2
710,1,3,4,1,1,3
711,0,4,2,1,1,4
712,3,2,4,0,0,2
713,2,0,4,1,1,0
714,3,2,4,0,0,2
715,4,3,3,3,3,3
716,0,4,4,1,1,4
717,4,3,3,3,3,3
718,4,3,3,3,3,3
719,2,0,4,2,2,0
720,1,3,4,4,4,3
721,1,3,4,4,4,3
722,3,2,4,0,0,2
723,0,4,4,1,1,4
724,3,2,0,0,0,2
725,3,2,0,0,0,2
726,1,3,4,1,1,3
727,4,3,3,3,3,3
728,0,3,4,1,1,3
729,0,4,4,1,1,4
730,0,4,4,1,1,4
731,2,0,4,2,2,0
732,3,2,4,0,0,2
733,1,3,4,4,4,3
734,2,0,4,2,2,0
735,0,1,2,2,2,1
736,1,3,4,4,4,3
737,1,3,4,4,4,3
738,3,2,4,0,0,2
739,0,4,2,1,1,4
740,3,2,4,0,0,2
741,4,3,4,1,1,3
742,0,1,2,1,1,1
743,3,2,4,0,0,2
744,1,3,4,4,4,3
745,1,3,4,4,4,3
746,4,3,3,3,3,3
747,0,1,2,1,1,1
748,3,2,0,0,0,2
749,2,0,4,1,1,0
750,1,3,4,4,4,3
751,3,2,0,0,0,2
752,0,4,4,1,1,4
753,0,4,2,1,1,4
754,0,4,4,1,1,4
755,2,0,4,2,2,0
756,3,2,4,0,0,2
757,1,3,4,4,4,3
758,4,3,3,3,3,3
759,1,3,4,4,4,3
760,1,3,4,4,4,3
761,0,4,4,1,1,4
762,2,0,4,2,2,0
763,0,4,4,1,1,4
764,4,3,3,3,3,3
765,4,3,3,3,3,3
766,2,0,4,2,2,0
767,3,2,0,0,0,2
768,2,0,4,2,2,0
769,0,1,4,1,1,1
770,3,2,1,0,0,2
771,0,1,2,1,1,1
772,2,0,4,2,2,0
773,3,2,0,0,0,2
774,1,0,4,4,4,0
775,3,2,0,0,0,2
776,1,3,4,1,1,3
777,2,0,4,2,2,0
778,3,2,4,0,0,2
779,3,2,4,0,0,2
780,1,3,4,4,4,3
781,4,3,3,3,3,3
782,4,3,3,3,3,3
783,1,3,4,4,4,3
784,4,3,3,3,3,3
785,3,2,4,0,0,2
786,3,2,4,0,0,2
787,1,3,4,4,4,3
788,4,3,3,3,3,3
789,1,3,4,4,4,3
790,4,3,3,3,3,3
791,4,2,4,3,3,2
792,3,2,4,0,0,2
793,3,2,4,0,0,2
794,3,2,4,0,0,2
795,4,3,3,3,3,3
796,4,3,4,3,3,3
797,1,3,4,4,4,3
798,3,2,4,0,0,2
799,2,0,4,1,1,0
800,4,3,3,3,3,3
801,0,4,4,1,1,4
802,3,2,4,0,0,2
803,0,4,4,1,1,4
804,0,1,2,1,1,1
805,2,0,4,2,2,0
806,2,0,4,2,2,0
807,0,4,4,1,1,4
808,2,0,4,2,2,0
809,2,0,4,2,2,0
810,3,2,4,0,0,2
811,2,0,4,2,2,0
812,3,2,4,0,0,2
813,3,2,0,0,0,2
814,0,4,2,1,1,4
815,4,3,3,3,3,3
816,3,2,4,0,0,2
817,1,3,4,2,2,3
818,3,2,4,0,0,2
819,2,0,4,2,2,0
820,4,3,3,3,3,3
821,1,3,4,4,4,3
822,3,2,4,0,0,2
823,3,2,0,0,0,2
824,0,4,4,1,1,4
825,1,3,4,4,4,3
826,1,3,4,4,4,3
827,4,3,3,3,3,3
828,4,3,3,3,3,3
829,1,3,4,1,1,3
830,4,3,3,3,3,3
831,2,0,4,1,1,0
832,2,0,4,2,2,0
833,3,2,0,0,0,2
834,0,1,2,1,1,1
835,2,0,4,2,2,0
836,2,0,4,2,2,0
837,4,3,4,3,3,3
838,2,0,4,2,2,0
839,4,3,3,3,3,3
840,1,3,4,4,4,3
841,2,0,4,2,2,0
842,4,4,4,3,3,4
843,2,0,4,2,2,0
844,3,2,4,0,0,2
845,3,2,4,0,0,2
846,2,0,4,2,2,0
847,0,4,4,1,1,4
848,2,0,4,2,2,0
849,1,3,4,4,4,3
850,0,4,4,1,1,4
851,0,4,4,1,1,4
852,3,2,4,0,0,2
853,3,2,0,0,0,2
854,1,3,4,4,4,3
855,2,1,2,1,1,1
856,3,2,4,0,0,2
857,3,2,0,0,0,2
858,1,3,4,4,4,3
859,3,2,4,0,0,2
860,2,0,4,2,2,0
861,1,3,4,4,4,3
862,4,3,3,3,3,3
863,1,3,4,4,4,3
864,4,3,4,3,3,3
865,3,2,4,0,0,2
866,2,0,4,2,2,0
867,3,2,4,0,0,2
868,4,3,3,3,3,3
869,1,3,4,4,4,3
870,4,3,3,3,3,3
871,0,4,4,1,1,4
872,4,3,3,3,3,3
873,1,3,4,1,1,3
874,2,0,4,2,2,0
875,3,2,4,0,0,2
876,0,4,2,1,1,4
877,4,3,3,3,3,3
878,0,4,4,1,1,4
879,0,4,4,1,1,4
880,4,3,3,3,3,3
881,3,2,4,0,0,2
882,3,2,0,0,0,2
883,4,3,3,3,3,3
884,2,0,4,2,2,0
885,2,0,4,2,2,0
886,0,4,2,1,1,4
887,4,4,3,1,1,4
888,1,3,4,4,4,3
889,0,4,2,1,1,4
890,2,0,4,2,2,0
891,0,1,2,1,1,1
892,0,1,2,1,1,1
893,3,2,4,0,0,2
894,2,0,4,1,1,0
895,0,4,2,1,1,4
896,3,2,4,0,0,2
897,2,0,4,2,2,0
898,1,3,4,4,4,3
899,1,3,4,4,4,3
900,4,3,3,3,3,3
901,0,1,2,1,1,1
902,4,3,3,3,3,3
903,2,0,4,2,2,0
904,3,2,0,0,0,2
905,2,0,4,2,2,0
906,4,3,3,3,3,3
907,2,0,4,2,2,0
908,1,3,4,4,4,3
909,0,4,2,1,1,4
910,1,3,4,4,4,3
911,0,1,2,1,1,1
912,2,0,4,2,2,0
913,2,0,4,2,2,0
914,1,3,4,4,4,3
915,4,3,3,3,3,3
916,3,2,0,0,0,2
917,2,0,4,2,2,0
918,2,0,4,2,2,0
919,2,0,4,2,2,0
920,2,0,4,2,2,0
921,2,0,4,2,2,0
922,3,2,4,0,0,2
923,0,1,2,1,1,1
924,3,2,0,0,0,2
925,4,3,4,3,3,3
926,0,4,4,1,1,4
927,1,3,4,4,4,3
928,2,0,4,2,2,0
929,3,2,4,0,0,2
930,0,4,4,1,1,4
931,3,2,0,0,0,2
932,3,2,4,0,0,2
933,2,0,4,2,2,0
934,3,2,4,0,0,2
935,4,3,3,3,3,3
936,0,4,2,1,1,4
937,4,3,3,3,3,3
938,4,3,3,3,3,3
939,1,3,4,4,4,3
940,2,0,4,2,2,0
941,4,3,4,3,3,3
942,1,3,4,4,4,3
943,3,2,4,0,0,2
944,2,0,4,1,1,0
945,2,0,4,2,2,0
946,0,4,4,1,1,4
947,3,2,0,0,0,2
948,0,4,4,1,1,4
949,1,3,4,4,4,3
950,4,3,3,3,3,3
951,4,3,3,3,3,3
952,3,2,4,0,0,2
953,2,0,4,2,2,0
954,4,3,3,3,3,3
955,4,3,4,3,3,3
956,2,0,4,2,2,0
957,0,1,2,1,1,1
958,1,3,4,4,4,3
959,4,3,4,3,3,3
960,0,4,4,1,1,4
961,0,4,2,1,1,4
962,2,4,4,2,2,4
963,2,0,4,1,1,0
964,4,3,3,3,3,3
965,3,2,4,0,0,2
966,2,0,4,2,2,0
967,1,3,4,4,4,3
968,4,3,3,3,3,3
969,2,0,4,2,2,0
970,3,2,4,0,0,2
971,0,1,2,2,2,1
972,3,2,4,0,0,2
973,2,0,4,2,2,0
974,3,2,0,0,0,2
975,0,4,4,2,2,4
976,4,3,3,3,3,3
977,1,3,4,4,4,3
978,1,3,4,4,4,3
979,0,1,2,1,1,1
980,3,2,0,0,0,2
981,1,3,4,4,4,3
982,2,0,4,2,2,0
983,3,2,0,0,0,2
984,2,0,4,2,2,0
985,3,2,0,0,0,2
986,3,2,4,0,0,2
987,1,3,4,4,4,3
988,2,0,4,2,2,0
989,0,1,2,1,1,1
990,1,3,4,4,4,3
